glyph_name,ps_name,sort_design,sort_final,in_g,in_k,usv,in_docs,doc_name,doc_uni,frame_l,frame_r1,frame_r2
comma,comma,7015,15,,Y,U+002C,D,COMMA,U+002C,,,
hyphen,hyphen,7016,16,,Y,U+002D,D,HYPHEN-MINUS,U+002D,,,
period,period,7017,17,,Y,U+002E,D,FULL STOP,U+002E,,,
slash,slash,7018,18,,Y,U+002F,D,SOLIDUS,U+002F,,,
zero,zero,7019,19,,Y,U+0030,D,DIGIT ZERO,U+0030,,,
one,one,7020,20,,Y,U+0031,D,DIGIT ONE,U+0031,,,
two,two,7021,21,,Y,U+0032,D,DIGIT TWO,U+0032,,,
three,three,7022,22,,Y,U+0033,D,DIGIT THREE,U+0033,,,
four,four,7023,23,,Y,U+0034,D,DIGIT FOUR,U+0034,,,
five,five,7024,24,,Y,U+0035,D,DIGIT FIVE,U+0035,,,
six,six,7025,25,,Y,U+0036,D,DIGIT SIX,U+0036,,,
seven,seven,7026,26,,Y,U+0037,D,DIGIT SEVEN,U+0037,,,
eight,eight,7027,27,,Y,U+0038,D,DIGIT EIGHT,U+0038,,,
nine,nine,7028,28,,Y,U+0039,D,DIGIT NINE,U+0039,,,
colon,colon,7029,29,,Y,U+003A,D,COLON,U+003A,,,
semicolon,semicolon,7030,30,,Y,U+003B,D,SEMICOLON,U+003B,,,
less,less,7031,31,,Y,U+003C,D,LESS-THAN SIGN,U+003C,,,
equal,equal,7032,32,,Y,U+003D,D,EQUALS SIGN,U+003D,,,
greater,greater,7033,33,,Y,U+003E,D,GREATER-THAN SIGN,U+003E,,,
question,question,7034,34,,Y,U+003F,D,QUESTION MARK,U+003F,,,
at,at,7035,35,,Y,U+0040,D,COMMERCIAL AT,U+0040,,,
A,A,7036,36,,Y,U+0041,D,LATIN CAPITAL LETTER A,U+0041,,,
B,B,7037,37,,Y,U+0042,D,LATIN CAPITAL LETTER B,U+0042,,,
C,C,7038,38,,Y,U+0043,D,LATIN CAPITAL LETTER C,U+0043,,,
D,D,7039,39,,Y,U+0044,D,LATIN CAPITAL LETTER D,U+0044,,,
E,E,7040,40,,Y,U+0045,D,LATIN CAPITAL LETTER E,U+0045,,,
F,F,7041,41,,Y,U+0046,D,LATIN CAPITAL LETTER F,U+0046,,,
